IEDA-DATATYPE-1, "Bathymetry/Topography"
IEDA-DATATYPE-2, "Biology"
IEDA-DATATYPE-3, "Chemistry"
IEDA-DATATYPE-4, "Chemistry:Fluid"
IEDA-DATATYPE-5, "Chemistry:Rock"
IEDA-DATATYPE-6, "Chemistry:Sediment"
IEDA-DATATYPE-7, "Chemistry:Soil"
IEDA-DATATYPE-8, "Geochronology"
IEDA-DATATYPE-9, "Geology/Geophysics - Other"
IEDA-DATATYPE-10, "Glaciology"
IEDA-DATATYPE-11, "Ice Core Records"
IEDA-DATATYPE-12, "Kinetics"
IEDA-DATATYPE-13, "Meteorology"
IEDA-DATATYPE-14, "Mineralogy"
IEDA-DATATYPE-15, "Navigation"
IEDA-DATATYPE-16, "Paleoclimate"
IEDA-DATATYPE-17, "Petrography"
IEDA-DATATYPE-18, "Photo/Video"
IEDA-DATATYPE-19, "Physical Oceanography"
IEDA-DATATYPE-20, "Potential Field"
IEDA-DATATYPE-21, "Sample/Collection Description"
IEDA-DATATYPE-22, "Sea Surface"
IEDA-DATATYPE-23, "Seismic Reflection"
IEDA-DATATYPE-24, "Seismic Reflection:MCS"
IEDA-DATATYPE-25, "Seismic Reflection:SCS"
IEDA-DATATYPE-26, "Seismic Refraction"
IEDA-DATATYPE-27, "Sidescan Sonar"
IEDA-DATATYPE-28, "Snow/Ice"
IEDA-DATATYPE-29, "Thermodynamics"