IEDA Data Type Keywords,"IEDA Data Type Keywords"
IEDA-DATATYPE-1, "Bathymetry/Topography", "TBD"
IEDA-DATATYPE-2, "Biology", "TBD"
IEDA-DATATYPE-3, "Chemistry", "TBD"
IEDA-DATATYPE-4, "Fluid", "TBD"
IEDA-DATATYPE-5, "Rock", "TBD"
IEDA-DATATYPE-6, "Sediment", "TBD"
IEDA-DATATYPE-7, "Soil", "TBD"
IEDA-DATATYPE-8, "Geochronology", "TBD"
IEDA-DATATYPE-9, "Geology/Geophysics - Other", "TBD"
IEDA-DATATYPE-10, "Glaciology", "TBD"
IEDA-DATATYPE-11, "Ice Core Records", "TBD"
IEDA-DATATYPE-12, "Kinetics", "TBD"
IEDA-DATATYPE-13, "Meteorology", "TBD"
IEDA-DATATYPE-14, "Mineralogy", "TBD"
IEDA-DATATYPE-15, "Navigation", "TBD"
IEDA-DATATYPE-16, "Paleoclimate", "TBD"
IEDA-DATATYPE-17, "Petrography", "TBD"
IEDA-DATATYPE-18, "Photo/Video", "TBD"
IEDA-DATATYPE-19, "Physical Oceanography", "TBD"
IEDA-DATATYPE-20, "Potential Field", "TBD"
IEDA-DATATYPE-21, "Sample/Collection Description", "TBD"
IEDA-DATATYPE-22, "Sea Surface", "TBD"
IEDA-DATATYPE-23, "Seismic Reflection", "TBD"
IEDA-DATATYPE-24, "MCS", "TBD"
IEDA-DATATYPE-25, "SCS", "TBD"
IEDA-DATATYPE-26, "Seismic Refraction", "TBD"
IEDA-DATATYPE-27, "Sidescan Sonar", "TBD"
IEDA-DATATYPE-28, "Snow/Ice", "TBD"
IEDA-DATATYPE-29, "Thermodynamics", "TBD"