IEDA-FEATURES-1, "Antarctica"
IEDA-FEATURES-2, "Arctic"
IEDA-FEATURES-3, "Back Arc Basin"
IEDA-FEATURES-4, "Chemistry:Ice"
IEDA-FEATURES-5, "Continental Arc"
IEDA-FEATURES-6, "Continental Margin"
IEDA-FEATURES-7, "Continental Rift"
IEDA-FEATURES-8, "Craton"
IEDA-FEATURES-9, "Critical Zone"
IEDA-FEATURES-10, "Glaciers/Ice Sheet"
IEDA-FEATURES-11, "Global"
IEDA-FEATURES-12, "Hydrothermal Vent"
IEDA-FEATURES-13, "IntraContinental Magmatism"
IEDA-FEATURES-14, "Island Arc"
IEDA-FEATURES-15, "Marine Sediments"
IEDA-FEATURES-16, "Meteorite"
IEDA-FEATURES-17, "Moon"
IEDA-FEATURES-18, "Ocean Island/Plateau"
IEDA-FEATURES-19, "Physical Properties"
IEDA-FEATURES-20, "Radar"
IEDA-FEATURES-21, "Remote Sensing imagery"
IEDA-FEATURES-22, "Sea Ice"
IEDA-FEATURES-23, "Southern Ocean"
IEDA-FEATURES-24, "Spreading Center"
IEDA-FEATURES-25, "Subduction Zone"